PlayCode,shortTitlenoArticle,shortTitle,Genre,Author,AuthorTitlePage,GeneralTitlePageAuthor,InternalTitlePageAuthor,TitlePageTitle,GeneralTitlePageTitle,InternalTitlePageTitle,Printer,Publisher,Bookseller,TitlePageImprint,GeneralTitlePageImprint,InternalTitlePageImprint,TitlePagePublicationStatement,GeneralTitlePagePublicationStatement,InternalTitlePagePublicationStatement,PubPlace,UncertainPrintingDate,TitlePagePrintingDate,UncertainPerformDate,performDate,performDateQualified,CompanyFirstProduction,TitlePageCompany,Adult/Boy,TitlePageTheater,TitlePagePerformanceStatement,GeneralTitlePagePerformanceStatement,InternalTitlePagePerformanceStatement,Format,CollectionItem,CollectionDetails,paratextualMaterials,STC/Wing,ESTCNo,ESTCNo-URL,WigginsNo,DEEPNo,DEEPNo-URL,GregNo,ReelNo,TCPID,HoldingRepository,HoldingRepository-URL,Facsimiles,Other Editions,Folger Record URL,Hamnet Bib Id,SHC,printingDate,TCPTranscriptionStatus
MoH,Maid of Honor,The Maid of Honor,Tragicomedies,Philip Massinger (Uncertain: No)|,PHILIP MASSINGER.,,,THE MAID OF HONOVR.,,,John Beale (Uncertain: No)|,Robert Allott (Uncertain: No)|,,"LONDON, Printed by I. B. for Robert Allot, and are to be sold at his Shop at the signe of the blacke Beare in Pauls Church-yard, 1632.",,,,,,London,No,1632,Yes,1621,[1621–1622],Red Bull (Revels) Company (first),Queen Henrietta Maria's Men,Adult Company,Phoenix,"AS IT HATH BEENE OFTEN PRESENTED with good allowance at the Phœnix in DRVRIE-LANE, by the Queenes Majesties SERVANTS.",,,quarto,No,,,STC 17638.5,S112421,http://estc.bl.uk/S112421,,806,http://deep.sas.upenn.edu/806,470a(ii),STC / 1074:12,A07240,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=002417017,British Library 644.b.78. (transcribed copy)| Boston Public Library G.3974.19 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=171487,171487,162-A07240,1632,Phase 1
NWPOD,New Way to Pay Old Debts,A New Way to Pay Old Debts,Comedies,Philip Massinger (Uncertain: No)|,PHILIP MASSINGER.,,,A NEW WAY TO PAY OLD DEBTS A COMOEDIE,,,Elizabeth Purslowe (Uncertain: No)|,Henry Seile (Uncertain: No)|,,"LONDON, Printed by E. P. for Henry Seyle, dwelling in S. Pauls Church-yard, at the signe of the Tygers head. Anno. M. DC. XXXIII.",,,,,,London,No,1633,No,1625,1625,Queen Henrietta Maria's Men,Queen Henrietta Maria's Men,Adult Company,Phoenix,"As it hath beene often acted at the Phœnix in Drury-Lane, by the Queenes Maiesties seruants.",,,quarto,No,,"DEDICATION: ""The Epistle"" to: Robert Dormer, 1st Earl of Carnarvon; from: Philip Massinger [A2r] COMMENDATORY VERSES: 2: by ""Henry Moody""; ""Thomas Iay"" [A3r] CHARACTER LIST: ""Dramatis personæ"" [A4v]",STC 17639,S112423,http://estc.bl.uk/S112423,,811,http://deep.sas.upenn.edu/811,474a,STC / 930:04,A07241,Huntington,http://catalog.huntington.org/record=b1501835,Boston Public Library G.3974.22 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=164436,164436,162-A07241,1633,Phase 1
Pic,"Picture, The",The Picture,Tragicomedies,Philip Massinger (Uncertain: No)|,Philip Massinger.,,,"THE PICTVRE A TRAGÆCOMÆDJE,",,,John Norton 2 (Uncertain: No)|,Thomas Walkley (Uncertain: No)|,,LONDON. Printed by I. N. for Thomas Walkley and are to be sould at his shoppe at the Eagle and Child in Brittains Burse. 1630.,,,,,,London,No,1630,No,1629,1629,King's Men,King's Men,Adult Company,Blackfriars|Globe,"As it was often presented with good allowance, at the Globe, and Blackefriers play-houses, by the Kings Maiesties seruants.",,,quarto,No,,"DEDICATION: ""The Epistle"" to: the Inner Temple; from: Philip Massinger [A3r] COMMENDATORY VERSES: 1: by ""Thomas Iay"" [A4r] CHARACTER LIST: ""Dramatis personæ"" [A2v] ACTOR LIST: ""The Actors names"" [A2v]",STC 17640,S123113,http://estc.bl.uk/S123113,,756,http://deep.sas.upenn.edu/756,436a(*1*2),STC / 1856:35,A07245,Huntington,http://catalog.huntington.org/record=b1505952,Folger STC 17640.5 copy 4 bd.w. STC 17642 copy 1 (not transcribed copy)| Boston Public Library G.3974.23 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=164437,164437,162-A07245,1630,Phase 1
Ren,"Renegado, or The Gentleman of Venice","The Renegado, or The Gentleman of Venice",Tragicomedies,Philip Massinger (Uncertain: No)|,PHILIP MASSINGER.,,,"THE RENEGADO, A TRAGÆCOMEDIE.",,,Augustine Mathewes (Uncertain: No)|,John Waterson (Uncertain: No)|,,"LONDON, Printed by A. M. for Iohn Waterson, and are to be sold at the Crowne in Pauls Church-Yard. 1630.",,,,,,London,No,1630,No,1624,1624,Lady Elizabeth's Men,Queen Henrietta Maria's Men,Adult Company,Drury Lane,"As it hath beene often acted by the Queenes Maiesties seruants, at the priuate Play-house in Drurye-Lane.",,,quarto,No,,"DEDICATION: ""The Epistle"" to: George Berkeley, 8th Baron Berkeley; from: Philip Massinger [A3r] COMMENDATORY VERSES: 2: by ""Iames Shirley""; ""Danyel Lakyn"" [A4r] CHARACTER LIST: ""Dramatis Personæ"" [A2v] ACTOR LIST: ""The Actors names"" [A2v]",STC 17641,S112427,http://estc.bl.uk/S112427,,752,http://deep.sas.upenn.edu/752,430a,STC / 930:05,A07246,Huntington,http://catalog.huntington.org/record=b1507341,Folger STC 17641 copy 1 (not transcribed copy)| Folger STC 17641 copy 3 (not transcribed copy)| Boston Public Library G.3974.24 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=164440,164440,162-A07246,1630,Phase 1
RA,"Roman Actor, The",The Roman Actor,Tragedies,Philip Massinger (Uncertain: No)|,PHILIP MASSINGER.,,,THE ROMAN ACTOR. A TRAGÆDIE.,,,Bernard Alsop (Uncertain: No)| Thomas Fawcet (Uncertain: No)|,Robert Allott (Uncertain: No)|,,"LONDON. Printed by B. A. and T. F. for ROBERT ALLOT, and are to be sold at his Shop at the signe of the Beare in Pauls Church-yard. 1629.",,,,,,London,No,1629,No,1626,1626,King's Men,King's Men,Adult Company,Blackfriars,"As it hath diuers times beene, with good allowance Acted, at the private Play-house in the Black-Friers, by the Kings Majesties Servants.",,,quarto,No,,"DEDICATION: ""The Epistle Dedicatorie"" to: Philip Knyvett, 1st Baronet; Thomas Jeay (of Netheravon); and Thomas Bellingham (of Newtimber); from: Philip Massinger [A2r] COMMENDATORY VERSES: 6: by ""T. I.""; ""Tho: G.""; ""Tho: May""; ""Iohn Foorde""; ""Robert Harvey""; ""Ioseph Taylor"" [A3r] CHARACTER LIST: ""The persons presented"" [A1v] ACTOR LIST: ""The principall Actors"" [A1v]",STC 17642,S112428,http://estc.bl.uk/S112428,,741,http://deep.sas.upenn.edu/741,424a(†),STC / 1074:14,A07247,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=002417072,Folger STC 17642 copy 1 (not transcribed copy)| British Library 644.e.74. (transcribed copy)| Boston Public Library XG3974.25 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=164441,164441,162-A07247,1629,Phase 1
UnCombat,"Unnatural Combat, The",The Unnatural Combat,Tragedies,Philip Massinger (Uncertain: No)|,PHILIP MASSINGER.,,,THE VNNATVRALL COMBAT. A Tragedie. The Scæne Marsellis.,,,Edward Griffin 2 (Uncertain: No)|,John Waterson (Uncertain: No)|,,"LONDON, Printed by E. G. for IOHN WATERSON, and are to be sold at his shop, at the signe of the Crowne, in S. Pauls Church-yard. 1639.",,,,,,London,No,1639,Yes,1624,[1624–1625],King's Men,King's Men,Adult Company,Globe,As it was presented by the Kings Majesties Servants at the GLOBE.,,,quarto,No,,"DEDICATION: Epistle to: Anthony St. Leger (of Ulcombe); from: Philip Massinger [A2r] CHARACTER LIST: ""The persons presented"" [A1v]",STC 17643,S112429,http://estc.bl.uk/S112429,,923,http://deep.sas.upenn.edu/923,559a,STC / 1074:15,A07248,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=002417078,Boston Public Library G.3974.27 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=164442,164442,162-A07248,1639,Phase 1
VirgMar,"Virgin Martyr, The",The Virgin Martyr,Tragedies,Thomas Dekker (Uncertain: No)| Philip Massinger (Uncertain: No)|,Phillip Messenger and Thomas Deker.,,,"THE VIRGIN MARTIR, A TRAGEDIE.",,,Bernard Alsop (Uncertain: No)|,Thomas Jones 2 (Uncertain: No)|,,"LONDON, Printed by B. A. for Thomas Iones. 1622.",,,,,,London,No,1622,No,1620,1620,Red Bull (Revels) Company (first),Red Bull (Revels) Company (first),Adult Company,,"AS IT HATH BIN DIVERS times publickely Acted with great Applause, By the seruants of his Maiesties Reuels.",,,quarto,No,,"CHARACTER LIST: ""The Actors names"" [A2v]",STC 17644,S112430,http://estc.bl.uk/S112430,,698,http://deep.sas.upenn.edu/698,380a(†),STC / 1074:16,A07249,British Library,http://primocat.bl.uk/F?func=direct&local_base=ITEMV&doc_number=002417086,,,,,162-A07249,1622,Phase 1
Heir,"Heir, The",The Heir,Comedies,Thomas May (Uncertain: No)|,T. M. Gent.,,,THE HEIRE AN EXCELLENT COMEDIE.,,,Bernard Alsop (Uncertain: No)|,Thomas Jones 2 (Uncertain: No)|,,"LONDON, Printed by B. A. for Thomas Iones, and are to bee sold at his shop in Chancery-lane, ouer-against the Roles, and in Westminster Hall. 1622.",,,,,,London,No,1622,No,1620,1620,Red Bull (Revels) Company (first),Red Bull (Revels) Company (first),Adult Company,,As it was lately Acted by the Company of the Reuels.,,,quarto,No,,"COMMENDATORY VERSES: 1: by ""Thomas Carew"" [A3r] CHARACTER LIST: ""The Names of the Actors"" [A4r]",STC 17713,S109948,http://estc.bl.uk/S109948,,706,http://deep.sas.upenn.edu/706,384a,STC / 966:05,A07326,Huntington,http://catalog.huntington.org/record=b1500894,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=163601,163601,162-A07326,1622,Phase 1
Cleo,"Cleopatra, Queen of Egypt","Cleopatra, Queen of Egypt",Tragedies,Thomas May (Uncertain: No)|,T. M.,,,THE TRAGEDIE OF CLEOPATRA Queen of Ægypt.,,,Thomas Harper (Uncertain: No)|,Thomas Walkley (Uncertain: No)|,,"LONDON, Printed by Thomas Harper for Thomas Walkly, and are to be sold at his shop at the flying Horse neer York House. 1639.",,,,,,London,No,1639,No,1626,1626,Unknown,,Unknown,,Acted 1626.,,,duodecimo,No,,"DEDICATION: Epistle to: Kenelm Digby (natural philosopher and courtier); from: Thomas May [A2r] CHARACTER LIST: ""The Speakers"" [E4r]",STC 17717,S112548,http://estc.bl.uk/S112548,,913,http://deep.sas.upenn.edu/913,553a(i),STC / 930:06,A07330,Folger,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=164500,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=164500,164500,162-A07330,1639,Phase 1
Julia,"Julia Agrippina, Empress of Rome","Julia Agrippina, Empress of Rome",Tragedies,Thomas May (Uncertain: No)|,T. M.,,,THE TRAGEDY OF JULIA AGRIPPINA; Empresse of Rome.,,,Richard Hodgkinson (Uncertain: No)|,Thomas Walkley (Uncertain: No)|,,"LONDON, Printed by Ric. Hodgkinsonne for Thomas Walkly, and are to be sold at his shop at the Flying Horse neare Yorke house. 1639.",,,,,,London,No,1639,No,1628,1628,Unknown,,Unknown,,,,,duodecimo,No,,"CHARACTER LIST: ""The Speakers"" and note ""Acted 1628."" [A3r]",STC 17718a,S122054,http://estc.bl.uk/S122054,,915,http://deep.sas.upenn.edu/915,554a(i),STC / 1523:07,A07332,Huntington,http://catalog.huntington.org/record=b1505161,,,,,162-A07332,1639,Phase 1
MaM,Match at Midnight,A Match at Midnight,Comedies,W. R. (Uncertain: No)|,W. R.,,,A MATCH AT MID-NIGHT. A Pleasant Comœdie:,,,Augustine Mathewes (Uncertain: No)|,William Sheares 1 (Uncertain: No)|,,"LONDON: Printed by Aug. Mathewes, for William Sheares and are to be sold at his Shop in Brittaines Bursse. 1633.",,,,,,London,No,1633,Yes,1622,[1621–1623],Red Bull (Revels) Company (first),Children of the Queen's Revels,Adult Company|Boy Company,,As it hath beene Acted by the Children of the Revells.,,,quarto,No,,"CHARACTER LIST: ""The Actors Names"" [A2r]",STC 21421,S116268,http://estc.bl.uk/S116268,,813,http://deep.sas.upenn.edu/813,476a,STC / 1004:07,A11151,Huntington,http://catalog.huntington.org/record=b1503058,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=166393,166393,162-A11151,1633,Phase 1
GS,"Grateful Servant (The Faithful Servant), The",The Grateful Servant (The Faithful Servant),Tragicomedies,James Shirley (Uncertain: No)|,IAMES SHIRLEY Gent.,,,THE GRATEFVLL SERVANT. A Comedie.,,,Bernard Alsop (Uncertain: No)| Thomas Fawcet (Uncertain: No)|,John Grove (Uncertain: No)|,,"LONDON. Printed by B. A. and T. F. for John Greue, and are to be sold at his shop at Furnivals-Inne gate. 1630.",,,,,,London,No,1630,No,1629,1629,Queen Henrietta Maria's Men,Queen Henrietta Maria's Men,Adult Company,Drury Lane,"As it was lately presented with good applause at the priuate House in Drury-Lane, By her Majesties Servants.",,,quarto,No,,"DEDICATION: ""The Epistle Dedicatorie"" to: Francis Manners, 6th Earl of Rutland; from: James Shirley [A2r] COMMENDATORY VERSES: 10: by ""Iohn Fox""; ""Io. Hall""; ""Cha. Aleyn"" (2); ""Tho. Randolph"" (2); ""Ro. Stapylton""; ""Philip Massenger""; ""Tho. Craford""; ""William Habington"" [_A1r] TO THE READER: ""The author to the Reader"" [_1v] CHARACTER LIST: ""Persons"" [_2r]",STC 22444,S117332,http://estc.bl.uk/S117332,,750,http://deep.sas.upenn.edu/750,429a,STC / 939:01,A12138,Folger,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=166922,Boston Public Library G.3976.52 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=166922,166922,162-A12138,1630,Phase 1
MR,Maid's Revenge,The Maid's Revenge,Tragedies,James Shirley (Uncertain: No)|,IAMES SHIRLEY Gent.,,,THE MAIDES REVENGE. A TRAGEDY.,,,Thomas Cotes (Uncertain: No)|,William Cooke (Uncertain: No)|,,"LONDON. Printed by T. C. for William Cooke, and are to be sold at his shop at Furnivalls Jnne Gate in Holbourne. 1639.",,,,,,London,No,1639,No,1626,1626,Queen Henrietta Maria's Men,Queen Henrietta Maria's Men,Adult Company,Drury Lane,"As it hath beene Acted with good Applause at the private house in Drury Lane, by her Majesties Servants.",,,quarto,No,,"DEDICATION: Epistle to: Henry Osborne (Esquire); from: James Shirley [A2v] CHARACTER LIST: ""The Actors names"" [A1v] OTHER PARATEXTS: ""A Catalogue of such things as hath beene Published by Iames Shirley Gent"" [A2v]",STC 22450,S117245,http://estc.bl.uk/S117245,,931,http://deep.sas.upenn.edu/931,562a(†),STC / 859:17,A12145,Bodleian,http://solo.bodleian.ox.ac.uk/OXVU1:oxfaleph015752444,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=166877,166877,162-A12145,1639,Phase 1
SoC,School of Compliment (Love Tricks),The School of Compliment (Love Tricks),Comedies,James Shirley (Uncertain: No)|,J. S.,,,THE SCHOOLE OF COMPLEMENT.,,,Elizabeth Allde (Uncertain: No)|,Francis Constable (Uncertain: No)|,,"LONDON, Printed by E. A. for Francis Constable, and are to be sold at his shop in Pauls Church-yard, at the signe of the Crane. 1631.",,,,,,London,No,1631,No,1625,1625,Lady Elizabeth's Men,Queen Henrietta Maria's Men,Adult Company,Drury Lane,AS IT VVAS ACTED by her Maiesties Seruants at the Priuate house in Drury Lane.,,,quarto,No,,"DEDICATION: ""The Epistle Dedicatory"" to: William Tresham (2nd Baronet?); from: James Shirley [A2r] CHARACTER LIST: ""Drammatis Personæ"" [B1v]",STC 22456,S117358,http://estc.bl.uk/S117358,,765,http://deep.sas.upenn.edu/765,441a,STC / 939:08,A12152,Folger,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=166931,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=166931,166931,162-A12152,1631,Phase 1
Wed,"Wedding, The",The Wedding,Comedies,James Shirley (Uncertain: No)|,"IAMES SHIRLEY, Gent.",,,The VVedding.,,,Nicholas Okes (Uncertain: No)|,John Grove (Uncertain: No)|,,"LONDON. Printed for Iohn Groue, and are to be sold at his shop at Furniualls Inne Gate in Holborne. 1629.",,,,,,London,No,1629,No,1626,1626,Queen Henrietta Maria's Men,Queen Henrietta Maria's Men,Adult Company,Phoenix,"As it was lately Acted by her Maiesties Seruants, at the Phenix in Drury Lane.",,,quarto,No,,"DEDICATION: Epistle to: William Gowre (critic and poet); from: James Shirley [A3r] COMMENDATORY VERSES: 6: by ""Edmond Colles""; ""Robert Haruey""; ""Tho. May""; ""Iohn Ford""; ""William Habington"" (2) [A3v] CHARACTER LIST: ""The Actors names"" [A2v] ACTOR LIST: part of ""The Actors names"" [A2v]",STC 22460,S117256,http://estc.bl.uk/S117256,,742,http://deep.sas.upenn.edu/742,425a,STC / 939:10,A12155,Folger,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=166885,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=166885,166885,162-A12155,1629,Phase 1
WFO,"Witty Fair One, The",The Witty Fair One,Comedies,James Shirley (Uncertain: No)|,IAMES SHIRLEY.,,,THE VVITTIE FAIRE ONE. A Comedie.,,,Bernard Alsop (Uncertain: No)| Thomas Fawcet (Uncertain: No)|,William Cooke (Uncertain: No)|,,"LONDON Printed by B. A. and T. F. for WIL. COOKE, and are to be sold at his shop, neere Furnivals-Jnne Gate, in Holborne. 1633.",,,,,,London,No,1633,No,1628,1628,Queen Henrietta Maria's Men,Queen Henrietta Maria's Men,Adult Company,Drury Lane,As it was presented at the Private House in DRVRY Lane. By her Maiesties Servants.,,,quarto,No,,"DEDICATION: Epistle to: Edward Bushell (equerry); from: James Shirley [A2r] CHARACTER LIST: ""Dramatis Personæ"" [A2v]",STC 22462,S117328,http://estc.bl.uk/S117328,,814,http://deep.sas.upenn.edu/814,477a,STC / 859:18,A12157,Bodleian,http://solo.bodleian.ox.ac.uk/OXVU1:oxfaleph014291854,Boston Public Library G.3977.8 (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=166919,166919,162-A12157,1633,Phase 1
TMM,"Two Merry Milkmaids, or The Best Words Wear the Garland","Two Merry Milkmaids, or The Best Words Wear the Garland",Comedies,John  Cumber (Uncertain: Yes)|,I. C.,,,"A PLEASANT COMEDIE, Called THE TVVO MERRY MILKE-MAIDS. Or, THE BEST WORDS WEARE THE GARLAND.",,,Bernard Alsop (Uncertain: No)|,Laurence Chapman (Uncertain: No)|,,"LONDON, Printed by Bernard Alsop, for Lawrence Chapman, and are to be sold at his shop in Holborne, ouer against Staple Inne, hard by the Barres. 1620.",,,,,,London,No,1620,Yes,1619,[1619–1620],Red Bull (Revels) Company (first),Red Bull (Revels) Company (first),Adult Company,,"As it was Acted before the King, with generall Approbation, by the Companie of the Reuels.",,,quarto,No,,"TO THE READER: ""The Printer to the Reader"" [A2r] CHARACTER LIST: ""The Names of the Persons"" [A1v]",STC 4281,S107366,http://estc.bl.uk/S107366,,686,http://deep.sas.upenn.edu/686,364a,STC / 1059:10,A17460,Yale,http://hdl.handle.net/10079/bibid/1247176,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=162133,162133,162-A17460,1620,Phase 1
NTCD,"New Trick to Cheat the Devil, A",A New Trick to Cheat the Devil,Comedies,Robert Davenport (Uncertain: No)|,R. D. Gent.,,,"A Pleasant and VVitty COMEDY: Called, A New Tricke to Cheat the Divell.",,,John Okes (Uncertain: No)|,Humphrey Blunden (Uncertain: No)|,,"LONDON: Printed by Iohn Okes, for Humphrey Blunden, and are to be sold at his Shop in Corne-hill, next to the Castle Taverne. 1639.",,,,,,London,No,1639,Yes,1625,[c.1624–1639],Unknown,,Adult Company,,,,,quarto,No,,"TO THE READER: ""To the courteous reader, and gentle peruser"" (by publisher) [A2r] CHARACTER LIST: ""Dramatis Persona"" [sic] [A2v]",STC 6315,S109313,http://estc.bl.uk/S109313,,928,http://deep.sas.upenn.edu/928,561a(i),STC / 922:08,A19888,Huntington,http://catalog.huntington.org/record=b1500510,,,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=163311,163311,162-A19888,1639,Phase 1
SC,"Spanish Curate, The",The Spanish Curate,Comedies,John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,,FRANCIS BEAVMONT AND IOHN FLETCHER Gentlemen.,,,COMEDIES AND TRAGEDIES,[half-title: E1r] THE SPANISH CURAT,,Humphrey Robinson (Uncertain: No)| Humphrey Moseley (Uncertain: No)|,,,"LONDON, Printed for Humphrey Robinson, at the three Pidgeons, and for Humphrey Moseley at the Princes Armes in St Pauls Church-yard. 1647.",,,"Never printed before, And now published by the Authours Originall Copies.",,London,No,1647,No,1622,1622,King's Men,,Adult Company,,,,,folio,Yes,"Published as part of Comedies and Tragedies written by Francis Beaumont and John Fletcher, containing: The Masque of the Inner Temple and Gray's Inn; The Mad Lover; The Spanish Curate; The Little French Lawyer; The Custom of the Country; The Noble Gentleman; The Captain; Beggars' Bush; The Coxcomb; The False One; The Chances; The Loyal Subject; The Laws of Candy; The Wandering Lovers (The Lovers' Progress) (Cleander); The Island Princess; The Humorous Lieutenant (Generous Enemies, Demetrius and Enanthe) (The Noble Enemy); The Nice Valor, or The Passionate Madman; The Maid in the Mill; The Prophetess; Bonduca; The Sea Voyage; The Double Marriage; The Pilgrim; The Knight of Malta; The Woman's Prize, or The Tamer Tamed; Love's Cure, or The Martial Maid; The Honest Man's Fortune; The Queen of Corinth; Women Pleased; A Wife for a Month; Wit at Several Weapons; Valentinian; The Fair Maid of the Inn; Love's Pilgrimage; Four Plays, or Moral Representations, in One.","DEDICATION: ""The Epistle Dedicatorie"" to: Philip Herbert, 1st Earl of Montgomery and 4th Earl of Pembroke; from: John Lowin; Joseph Taylor; Richard Robinson; Robert Benfield; Eyllaerdt Swanston; Thomas Pollard; Hugh Clark; William Allen; Stephen Hammerton; and Theophilus Bird (actors) [A2r] COMMENDATORY VERSES: 37: ""To the Stationer"" signed ""Grandison""; by ""H. Howard""; ""Henry Mody""; ""Thomas Peyton""; ""Aston Cokaine""; ""Jo. Pettus""; ""Robert Stapylton""; ""George Lisle""; ""I. Denham""; ""Edw. Waller""; ""Rich. Lovelace""; ""Wil. Habington""; ""Ia. Howell""; ""Tho. Stanley""; ""Roger L'Estrange""; ""Robert Gardiner""; ""John Web""; ""George Buck""; ""Joh. Earle""; ""I. M.""; ""Jasper Maine""; ""William Cartwright"" (2); ""Rich. Corbet""; ""Ben. Johnson""; ""Rob. Herrick""; ""I. Berhenhead""; ""Edw. Powell""; ""G. Hills""; ""Jos. Howe""; ""T. Palmer""; ""Alex. Brome""; ""John Harris""; ""Henry Harington""; ""Ric. Brome""; ""Ja. Shirley"" [a1r]; ""The Stationer"" signed ""H. Moseley"" [g2r] TO THE READER: ""To the Reader"" signed ""Ja. Shirley"" [A3r]; ""The Stationer to the Readers"" signed ""Humphrey Moseley"" [A4r]; ""Postcript"" [sic] [g2r] OTHER PARATEXTS: ""A Catalogue of all the Comedies and Tragedies Contained in this Booke"" [g2v]",Wing B1581,R22900,http://estc.bl.uk/R22900,,5143.02,http://deep.sas.upenn.edu/5143.02,638a,Wing / 306:1a,A27177,Harvard,http://id.lib.harvard.edu/aleph/002276197/catalog,Penn State PR2420 1647 Q. (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=146660,146660,162-A27177_02,1647,Phase 2
CC,Custom of the Country,The Custom of the Country,Comedies,John Fletcher (Uncertain: No)| Philip Massinger (Uncertain: No)|,,FRANCIS BEAVMONT AND IOHN FLETCHER Gentlemen.,,,COMEDIES AND TRAGEDIES,[half-title: 2A1r] The Custome of the Countrey,,Humphrey Robinson (Uncertain: No)| Humphrey Moseley (Uncertain: No)|,,,"LONDON, Printed for Humphrey Robinson, at the three Pidgeons, and for Humphrey Moseley at the Princes Armes in St Pauls Church-yard. 1647.",,,"Never printed before, And now published by the Authours Originall Copies.",,London,No,1647,Yes,1620,[1619–1620],King's Men,,Adult Company,,,,,folio,Yes,"Published as part of Comedies and Tragedies written by Francis Beaumont and John Fletcher, containing: The Masque of the Inner Temple and Gray's Inn; The Mad Lover; The Spanish Curate; The Little French Lawyer; The Custom of the Country; The Noble Gentleman; The Captain; Beggars' Bush; The Coxcomb; The False One; The Chances; The Loyal Subject; The Laws of Candy; The Wandering Lovers (The Lovers' Progress) (Cleander); The Island Princess; The Humorous Lieutenant (Generous Enemies, Demetrius and Enanthe) (The Noble Enemy); The Nice Valor, or The Passionate Madman; The Maid in the Mill; The Prophetess; Bonduca; The Sea Voyage; The Double Marriage; The Pilgrim; The Knight of Malta; The Woman's Prize, or The Tamer Tamed; Love's Cure, or The Martial Maid; The Honest Man's Fortune; The Queen of Corinth; Women Pleased; A Wife for a Month; Wit at Several Weapons; Valentinian; The Fair Maid of the Inn; Love's Pilgrimage; Four Plays, or Moral Representations, in One.","DEDICATION: ""The Epistle Dedicatorie"" to: Philip Herbert, 1st Earl of Montgomery and 4th Earl of Pembroke; from: John Lowin; Joseph Taylor; Richard Robinson; Robert Benfield; Eyllaerdt Swanston; Thomas Pollard; Hugh Clark; William Allen; Stephen Hammerton; and Theophilus Bird (actors) [A2r] COMMENDATORY VERSES: 37: ""To the Stationer"" signed ""Grandison""; by ""H. Howard""; ""Henry Mody""; ""Thomas Peyton""; ""Aston Cokaine""; ""Jo. Pettus""; ""Robert Stapylton""; ""George Lisle""; ""I. Denham""; ""Edw. Waller""; ""Rich. Lovelace""; ""Wil. Habington""; ""Ia. Howell""; ""Tho. Stanley""; ""Roger L'Estrange""; ""Robert Gardiner""; ""John Web""; ""George Buck""; ""Joh. Earle""; ""I. M.""; ""Jasper Maine""; ""William Cartwright"" (2); ""Rich. Corbet""; ""Ben. Johnson""; ""Rob. Herrick""; ""I. Berhenhead""; ""Edw. Powell""; ""G. Hills""; ""Jos. Howe""; ""T. Palmer""; ""Alex. Brome""; ""John Harris""; ""Henry Harington""; ""Ric. Brome""; ""Ja. Shirley"" [a1r]; ""The Stationer"" signed ""H. Moseley"" [g2r] TO THE READER: ""To the Reader"" signed ""Ja. Shirley"" [A3r]; ""The Stationer to the Readers"" signed ""Humphrey Moseley"" [A4r]; ""Postcript"" [sic] [g2r] OTHER PARATEXTS: ""A Catalogue of all the Comedies and Tragedies Contained in this Booke"" [g2v]",Wing B1581,R22900,http://estc.bl.uk/R22900,,5143.04,http://deep.sas.upenn.edu/5143.04,640a,Wing / 306:1a,A27177,Harvard,http://id.lib.harvard.edu/aleph/002276197/catalog,Penn State PR2420 1647 Q. (not transcribed copy),,http://hamnet.folger.edu/cgi-bin/Pwebrecon.cgi?BBID=146660,146660,162-A27177_04,1647,Phase 2
